country,year,voter_turnout,population,gdp_per_capita,unemployment_rate,compulsory_voting,years_eu_membership,urbanization_rate,median_age,eu_net_beneficiary,weekend_voting,national_turnout
MT,2019,72.7,483903,33382.2677499267,3.956,0,15,94.7242373261706,40.4,1,0,92.06
NL,2019,41.93,17231624,53955.0770024266,3.832,0,61,92.6062472401044,42.6,0,0,81.93
PL,2019,45.68,37974750,15658.2120316794,3.835,0,15,60.0533306480907,40.6,1,1,61.74
PT,2019,30.75,10283822,23541.1401075289,6.966,0,33,61.1233069673808,45.0,1,1,48.57
RO,2019,51.2,19473970,12416.134317959,4.187,0,12,53.1445711571868,42.1,1,1,37.79
SE,2019,55.27,10175214,54018.4554391861,6.365,0,24,87.4737430925296,40.6,0,1,87.18
SI,2019,28.89,2073894,25888.0481065655,5.108,0,15,55.1913430955675,43.8,1,1,52.64
SK,2019,22.74,5446771,19573.3717031314,6.544,0,15,53.4881496935559,40.2,1,0,59.82
AT,2024,56.25,9131761,56579.504175468,5.264,0,29,69.2265358276021,43.5,0,1,76.25
BE,2024,89.01,11779946,55291.4754541329,5.547,1,66,87.551492636772,41.9,1,1,87.42
BG,2024,33.78,6446596,15853.208636704,4.319,1,17,73.7322671584613,46.8,1,1,34.41
CY,2024,58.86,1344976,36623.69140625,5.835,0,20,66.6739477522639,40.2,1,1,65.72
CZ,2024,36.45,10864042,31761.5944102491,2.579,0,20,72.7352388396817,43.7,1,0,65.39
DE,2024,64.74,83287273,54776.7668235491,3.071,0,66,81.9034366692129,45.7,0,1,76.58
DK,2024,58.25,5946952,68043.5466971243,5.094,0,51,88.552638542867,42.2,0,1,84.16
EE,2024,37.64,1370286,30264.0064885057,6.378,0,20,70.6770085523126,42.3,1,1,63.53
EL,2024,41.24,10407351,23343.7103964562,11.023,1,43,78.7746303842088,46.6,1,1,71.76
ES,2024,46.39,48352528,33493.2225409111,12.179,0,38,80.128491001856,45.3,0,1,66.59
FI,2024,40.38,5583911,52834.2916752703,7.149,0,29,74.0062548602828,43.5,0,1,68.5
FR,2024,51.49,68372286,44700.1384177544,7.335,0,66,78.7804323126547,42.3,0,1,66.63
HR,2024,21.35,3859686,22184.2279304842,6.121,0,11,57.2431560672198,45.4,1,1,62.3
HU,2024,59.46,9592186,22230.6277875187,4.096,0,20,70.2923026891431,44.2,1,1,69.59
IE,2024,50.65,5311538,106818.917130804,4.243,0,51,64.1152082461268,39.1,0,0,59.7
IT,2024,48.31,58984216,39277.0838783918,7.627,0,66,69.5381540123301,48.4,0,1,63.79
LT,2024,28.97,2871585,27786.0057829276,6.841,0,20,68.575454583199,44.2,1,1,52.04
LU,2024,82.29,666430,133230.619178899,5.184,1,66,94.8015300320787,39.7,1,1,87.18
LV,2024,33.82,1883710,22710.2637544197,6.465,0,20,68.3586316343061,43.8,1,0,59.43
MT,2024,72.98,552747,40905.8059585057,3.479,0,20,95.6272277147965,40.1,1,0,85.63
NL,2024,46.18,17877117,63515.6030780019,3.535,0,66,95.3221682092129,42.5,0,0,77.74
PL,2024,40.65,36687353,22145.2660647429,2.743,0,20,59.8859561370214,42.6,1,1,74.38
PT,2024,36.47,10578174,27634.6183139773,6.498,0,38,61.2048652633664,46.9,1,1,59.9
RO,2024,52.4,19061062,18244.4186876321,5.589,0,17,52.1645747011867,43.6,1,1,52.33
SE,2024,53.39,10536632,54950.2834725622,7.611,0,29,88.631216160938,40.8,0,1,84.21
SI,2024,41.8,2120461,32660.4753581346,3.652,0,20,55.5378927789875,44.9,1,1,70.97
SK,2024,34.38,5426740,24614.8734642794,5.843,0,20,53.190805019646,42.2,1,0,68.52
